id;adi;aciklama;onay_durumu
1;Netherlands Wooden Car;Berkshire;ONAYLANMADI
2;policy web-readiness transmit;drive;ONAYLANMADI
3;robust Borders mission-critical;Divide;ONAY_BEKLENMEDE
4;Re-engineered Gateway;alarm;ONAY_BEKLENMEDE
5;Forward Vincent;JSON Orchestrator optimize;ONAYLANMADI
6;applications dynamic transmitter;pink HDD ivory;ONAY_BEKLENMEDE
7;Automotive connecting;Small;ONAYLANDI
8;Rustic Movies Minnesota;Guyana;ONAY_BEKLENMEDE
9;redefine Handcrafted;Kansas deposit;ONAYLANDI
10;Strategist Washington index;Corporate Metal;ONAYLANDI
